"sched_name_desc","sched_type_desc","division_name","sched_agegroup","sched_pool","visit_sched_pool","home_cup_pool","visit_cup_pool","sched_status_desc","Date","Time","field_name","home_team","home_club","home_district","home_score","visit_score","visit_team","visit_club","visit_district","game_no","sched_notes",
"Winter                                  ","Season                                  ","1","U99","A","A","A","B","Active                                  ","2022-09-24"," 5:00PM","Merle Logan","Nanaimo United FC","nufc","          ","2","2","Castaways FC (D1)","cfc","          ","               ","",
"Winter                                  ","Season                                  ","1","U99","A","A","B","A","Active                                  ","2022-10-02","10:00AM","Carnarvon Park","Castaways FC (D1)","cfc","          ","0","1","Gorge United","gsa","          ","               ","",
"Winter                                  ","Season                                  ","1","U99","A","A","B","B","Active                                  ","2022-10-16","12:00PM","Iroquois Park","Bye-F","NONE","          ","","","Castaways FC (D1)","cfc","          ","               ","",
"Winter                                  ","Season                                  ","1","U99","A","A","B","A","Active                                  ","2022-10-22"," 6:00PM","PISE","Castaways FC (D1)","cfc","          ","","","Lakehill FC","lhsa","          ","               ","",
"Winter                                  ","Season                                  ","1","U99","A","A","B","B","Active                                  ","2022-10-30","12:00PM","Sherman Road Turf","Cowichan FC","cvsa","          ","","","Castaways FC (D1)","cfc","          ","               ","",
"Winter                                  ","Season                                  ","1","U99","A","A","B","C","Active                                  ","2022-11-04"," 7:30PM","PISE","Castaways FC (D1)","cfc","          ","","","Prospect Lake Lakers","plsc","          ","               ","",
"Winter                                  ","Season                                  ","1","U99","A","A","C","B","Tentative                               ","2022-11-13","12:00PM","Braefoot Park","Lakehill Reds","lhsa","          ","","","Castaways FC (D1)","cfc","          ","","",
"Winter                                  ","Season                                  ","1","U99","A","A","B","","Active                                  ","2022-11-19"," 6:00PM","PISE","Castaways FC (D1)","cfc","          ","","","Castaways (D1)","cfc","          ","               ","",
"Winter                                  ","Season                                  ","1","U99","A","A","A","B","Tentative                               ","2022-11-27","12:00PM","Tyndall Turf","SFFC United","sffc","          ","","","Castaways FC (D1)","cfc","          ","","",
"Winter                                  ","Season                                  ","1","U99","A","A","B","A","Active                                  ","2022-12-02"," 7:30PM","PISE","Castaways FC (D1)","cfc","          ","","","Nanaimo United FC","nufc","          ","               ","",
"Winter                                  ","Season                                  ","1","U99","A","A","A","B","Tentative                               ","2022-12-11","12:00PM","Hampton Park - Kulai - Turf","Gorge United","gsa","          ","","","Castaways FC (D1)","cfc","          ","","",
"Winter                                  ","Season                                  ","1","U99","A","A","B","B","Active                                  ","2023-01-14"," 6:00PM","PISE","Castaways FC (D1)","cfc","          ","","","Bye-F","NONE","          ","               ","",
"Winter                                  ","Season                                  ","1","U99","A","A","A","B","Tentative                               ","2023-01-21"," 6:00PM","Braefoot Park","Lakehill FC","lhsa","          ","","","Castaways FC (D1)","cfc","          ","","",
"Winter                                  ","Season                                  ","1","U99","A","A","B","B","Tentative                               ","2023-01-28"," 6:00PM","PISE","Castaways FC (D1)","cfc","          ","","","Cowichan FC","cvsa","          ","","",
"Winter                                  ","Season                                  ","1","U99","A","A","C","B","Active                                  ","2023-02-04"," 5:00PM","Layritz Turf","Prospect Lake Lakers","plsc","          ","","","Castaways FC (D1)","cfc","          ","               ","",
"Winter                                  ","Season                                  ","1","U99","A","A","B","C","Tentative                               ","2023-02-11"," 6:00PM","PISE","Castaways FC (D1)","cfc","          ","","","Lakehill Reds","lhsa","          ","","",
