"sched_name_desc","sched_type_desc","division_name","sched_agegroup","sched_pool","visit_sched_pool","home_cup_pool","visit_cup_pool","sched_status_desc","Date","Time","field_name","home_team","home_club","home_district","home_score","visit_score","visit_team","visit_club","visit_district","game_no","sched_notes",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","A","A","Active                                  ","2023-09-10","12:00PM","Lochside Turf","SFFC United","sffc","          ","","","Saanich Fusion Susans","sffc","          ","               ","",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","A","A","Active                                  ","2023-09-15"," 8:00PM","Lochside Turf","Saanich Fusion Susans","sffc","          ","","","Gorge FC Team Sales","gsa","          ","               ","",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","A","A","Active                                  ","2023-09-23"," 5:00PM","Merle Logan","Nanaimo United FC","nufc","          ","","","Saanich Fusion Susans","sffc","          ","               ","",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","A","A","Active                                  ","2023-09-29"," 6:00PM","Lochside Turf","Saanich Fusion Susans","sffc","          ","","","Lakehill FC","lhsa","          ","               ","",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","A","A","Tentative                               ","2023-10-13"," 6:00PM","Tyndall Turf","Saanich Fusion Susans","sffc","          ","","","Gorge United","gsa","          ","","",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","","A","Tentative                               ","2023-10-22","12:00PM","-TBD","Premier Bye","","          ","","","Saanich Fusion Susans","sffc","          ","","",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","A","A","Active                                  ","2023-10-27"," 8:00PM","Tyndall Turf","Saanich Fusion Susans","sffc","          ","","","Cowichan FC","cvsa","          ","               ","",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","A","A","Tentative                               ","2023-11-03"," 6:00PM","Tyndall Turf","Saanich Fusion Susans","sffc","          ","","","SFFC United","sffc","          ","","",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","A","A","Active                                  ","2023-11-11"," 4:00PM","Hampton Park - Kulai - Turf","Gorge FC Team Sales","gsa","          ","","","Saanich Fusion Susans","sffc","          ","               ","",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","A","A","Tentative                               ","2023-11-17"," 8:00PM","Tyndall Turf","Saanich Fusion Susans","sffc","          ","","","Nanaimo United FC","nufc","          ","               ","",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","A","A","Tentative                               ","2023-11-26"," 4:00PM","Braefoot Park","Lakehill FC","lhsa","          ","","","Saanich Fusion Susans","sffc","          ","","",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","A","A","Active                                  ","2023-12-01"," 8:00PM","Hampton Park - Kulai - Turf","Gorge United","gsa","          ","","","Saanich Fusion Susans","sffc","          ","               ","",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","A","","Active                                  ","2023-12-08"," 6:00PM","Tyndall Turf","Saanich Fusion Susans","sffc","          ","","","Premier Bye","","          ","               ","",
"Winter                                  ","Season                                  ","Premier","U99","Premier","Premier","A","A","Active                                  ","2024-01-14","12:00PM","Sherman Road Turf","Cowichan FC","cvsa","          ","","","Saanich Fusion Susans","sffc","          ","               ","",
